,index,video_id,url,caption,queries,duration_sec
0,0,OYxAiQZJp-c.mp4,https://www.youtube.com/watch?v=OYxAiQZJp-c,"The video clip opens with a title card reading 'DAREDEVIL AT HIS ABSOLUTE BEST' against a dark background, followed by another title card stating 'RAW, BONE-CHUCKLING ACTION.' The scene shifts to an indoor setting where two characters are engaged in a physical altercation. One character is wearing a red suit and the other has a white mask covering their face. They appear to be fighting or grappling on a wooden floor. A close-up of one character's hand gripping another's arm suggests a struggle for control. The environment looks like a dimly lit room with warm lighting. Subsequent frames show more intense action shots involving multiple characters in various settings such as indoors and outdoors at night. There are quick cuts between different scenes showing characters in combat poses and dynamic movements.",daredevil fight compilation best moments,43
1,0,OYxAiQZJp-c.mp4,https://www.youtube.com/watch?v=OYxAiQZJp-c,"The video clip opens with a title card reading 'DAREDEVIL AT HIS ABSOLUTE BEST' against a dark background, followed by another title card stating 'RAW, BONE-CHUCKLING ACTION.' The scene shifts to an indoor setting where two characters are engaged in a physical altercation. One character is wearing a red suit and the other has a white mask covering their face. They appear to be fighting or grappling on a wooden floor. A close-up of one character's hand gripping another's arm suggests a struggle for control. The environment looks like a dimly lit room with warm lighting. Subsequent frames show more intense action shots involving multiple characters in various settings such as indoors and outdoors at night. There are quick cuts between different scenes showing characters in combat poses and dynamic movements.",daredevil vs masked villain intense fight scene,43
2,0,OYxAiQZJp-c.mp4,https://www.youtube.com/watch?v=OYxAiQZJp-c,"The video clip opens with a title card reading 'DAREDEVIL AT HIS ABSOLUTE BEST' against a dark background, followed by another title card stating 'RAW, BONE-CHUCKLING ACTION.' The scene shifts to an indoor setting where two characters are engaged in a physical altercation. One character is wearing a red suit and the other has a white mask covering their face. They appear to be fighting or grappling on a wooden floor. A close-up of one character's hand gripping another's arm suggests a struggle for control. The environment looks like a dimly lit room with warm lighting. Subsequent frames show more intense action shots involving multiple characters in various settings such as indoors and outdoors at night. There are quick cuts between different scenes showing characters in combat poses and dynamic movements.",daredevil fights white masked enemy wooden floor close up,43
3,1,wVkksjNxu9U.mp4,https://www.youtube.com/watch?v=wVkksjNxu9U,"The video opens with a close-up of a character's mechanical suit glowing blue, indicating advanced technology. The scene transitions to an aerial view of a city at night, showcasing the vastness and urban setting. A high-speed chase ensues through the streets; the camera follows from behind as the vehicle speeds past buildings and streetlights. The environment is dark but illuminated by artificial lights, creating a contrast between the darkness of the night sky and the bright cityscape below. As the chase continues, sparks fly off the vehicle due to its speed and power. The final frame shows a title card for 'Ironheart,' suggesting that this is part of a series or movie trailer related to Ironheart.",ironheart trailer high speed chase scene,30
4,1,wVkksjNxu9U.mp4,https://www.youtube.com/watch?v=wVkksjNxu9U,"The video opens with a close-up of a character's mechanical suit glowing blue, indicating advanced technology. The scene transitions to an aerial view of a city at night, showcasing the vastness and urban setting. A high-speed chase ensues through the streets; the camera follows from behind as the vehicle speeds past buildings and streetlights. The environment is dark but illuminated by artificial lights, creating a contrast between the darkness of the night sky and the bright cityscape below. As the chase continues, sparks fly off the vehicle due to its speed and power. The final frame shows a title card for 'Ironheart,' suggesting that this is part of a series or movie trailer related to Ironheart.",ironheart suit glowing blue technology marvel,30
5,1,wVkksjNxu9U.mp4,https://www.youtube.com/watch?v=wVkksjNxu9U,"The video opens with a close-up of a character's mechanical suit glowing blue, indicating advanced technology. The scene transitions to an aerial view of a city at night, showcasing the vastness and urban setting. A high-speed chase ensues through the streets; the camera follows from behind as the vehicle speeds past buildings and streetlights. The environment is dark but illuminated by artificial lights, creating a contrast between the darkness of the night sky and the bright cityscape below. As the chase continues, sparks fly off the vehicle due to its speed and power. The final frame shows a title card for 'Ironheart,' suggesting that this is part of a series or movie trailer related to Ironheart.",ironheart aerial city chase night footage,30
6,2,f4EQKegeNH8.mp4,https://www.youtube.com/watch?v=f4EQKegeNH8,"The video captures a bustling red carpet event at the premiere of 'Thor: Ragnarok'. The setting is outdoors, with clear skies and bright daylight. A large black structure prominently displays the movie's title in bold yellow letters on its side. People are seen walking around, some dressed formally for the occasion. There's an array of attendees mingling and taking photos. In the background, there's a building labeled 'ONION' which adds to the urban feel of the scene. The environment buzzes with excitement as fans gather to capture moments from the event. The color palette consists of vibrant yellows from the movie posters, contrasting against the darker tones of the surrounding architecture.",thor ragnarok world premiere red carpet event,12
7,2,f4EQKegeNH8.mp4,https://www.youtube.com/watch?v=f4EQKegeNH8,"The video captures a bustling red carpet event at the premiere of 'Thor: Ragnarok'. The setting is outdoors, with clear skies and bright daylight. A large black structure prominently displays the movie's title in bold yellow letters on its side. People are seen walking around, some dressed formally for the occasion. There's an array of attendees mingling and taking photos. In the background, there's a building labeled 'ONION' which adds to the urban feel of the scene. The environment buzzes with excitement as fans gather to capture moments from the event. The color palette consists of vibrant yellows from the movie posters, contrasting against the darker tones of the surrounding architecture.",thor ragnarok premiere cast interviews and fan footage,12
8,2,f4EQKegeNH8.mp4,https://www.youtube.com/watch?v=f4EQKegeNH8,"The video captures a bustling red carpet event at the premiere of 'Thor: Ragnarok'. The setting is outdoors, with clear skies and bright daylight. A large black structure prominently displays the movie's title in bold yellow letters on its side. People are seen walking around, some dressed formally for the occasion. There's an array of attendees mingling and taking photos. In the background, there's a building labeled 'ONION' which adds to the urban feel of the scene. The environment buzzes with excitement as fans gather to capture moments from the event. The color palette consists of vibrant yellows from the movie posters, contrasting against the darker tones of the surrounding architecture.",marvel thor premiere outdoor event with fans,12
9,3,Mossc46lLTQ.mp4,https://www.youtube.com/watch?v=Mossc46lLTQ,"The video features a male figure in a white suit walking confidently on what appears to be a red carpet. He is the central focus, moving from left to right across the frame. The background includes other individuals dressed in black and casual attire, suggesting an event with multiple attendees. There's lush greenery behind them, indicating an outdoor setting possibly within a garden or park area. A building structure can also be seen in the distance under clear skies. As he walks, his posture remains upright, exuding confidence. In one of the frames, text overlay reads 'What's up?' which adds a conversational element to the scene.",white suit man red carpet event,9
